                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                  1.145,                 1.0219,                 1.1964,                 0.7877,                0.65528,                 0.7498,                0.52038,                 1.0313,                0.81685,                 1.0893,               0.003664,               0.003664,               0.003664
                     67,                 1.1439,                 1.0174,                 1.1906,                0.78184,                0.65943,                0.74959,                 0.5201,                 1.0307,                 0.8164,                 1.0889,               0.003565,               0.003565,               0.003565
                     68,                 1.1396,                 1.0185,                  1.193,                 0.7799,                0.66286,                 0.7502,                0.52016,                 1.0297,                0.81619,                 1.0879,               0.003466,               0.003466,               0.003466
                     69,                 1.1369,                 1.0075,                 1.1882,                0.78398,                0.65909,                0.75041,                0.52121,                 1.0289,                0.81386,                 1.0868,               0.003367,               0.003367,               0.003367
                     70,                 1.1394,                 1.0053,                 1.1886,                0.77919,                0.66308,                0.75062,                0.52162,                 1.0283,                0.81274,                 1.0861,               0.003268,               0.003268,               0.003268
                     71,                 1.1318,                 1.0009,                 1.1846,                0.78668,                0.65965,                0.75074,                0.52215,                 1.0276,                0.81188,                 1.0857,               0.003169,               0.003169,               0.003169
                     72,                 1.1323,                 1.0014,                 1.1862,                0.78761,                 0.6602,                0.75127,                0.52197,                 1.0269,                0.81123,                 1.0853,                0.00307,                0.00307,                0.00307
                     73,                 1.1358,                 0.9983,                 1.1831,                0.78965,                0.65909,                0.75175,                0.52233,                 1.0259,                0.81052,                 1.0842,               0.002971,               0.002971,               0.002971
                     74,                 1.1321,                0.99718,                 1.1828,                0.78934,                 0.6589,                0.75243,                 0.5231,                 1.0259,                0.80828,                 1.0836,               0.002872,               0.002872,               0.002872
                     75,                 1.1236,                0.99229,                 1.1785,                0.79463,                0.65703,                0.75322,                0.52414,                 1.0251,                 0.8086,                 1.0832,               0.002773,               0.002773,               0.002773
                     76,                 1.1237,                 0.9863,                 1.1767,                0.79421,                0.66034,                0.75361,                0.52462,                 1.0244,                0.80772,                 1.0827,               0.002674,               0.002674,               0.002674
                     77,                 1.1212,                 0.9785,                 1.1768,                0.79897,                0.65649,                 0.7541,                0.52462,                 1.0235,                0.80697,                 1.0813,               0.002575,               0.002575,               0.002575
                     78,                 1.1138,                0.97614,                 1.1746,                 0.7994,                0.65807,                0.75503,                0.52538,                 1.0223,                0.80601,                 1.0806,               0.002476,               0.002476,               0.002476
                     79,                 1.1153,                0.97294,                 1.1724,                 0.7982,                0.65879,                0.75556,                0.52588,                 1.0205,                0.80495,                 1.0791,               0.002377,               0.002377,               0.002377
                     80,                 1.1095,                0.96603,                 1.1709,                 0.7988,                0.65918,                0.75602,                0.52677,                 1.0199,                0.80344,                 1.0785,               0.002278,               0.002278,               0.002278
                     81,                 1.1069,                0.96537,                 1.1677,                0.80307,                0.65803,                0.75683,                0.52767,                 1.0179,                0.80185,                 1.0773,               0.002179,               0.002179,               0.002179
                     82,                 1.0998,                0.95879,                 1.1696,                0.80568,                0.65751,                0.75726,                0.52809,                  1.017,                0.80027,                 1.0769,                0.00208,                0.00208,                0.00208
                     83,                 1.1031,                0.95874,                 1.1682,                0.79387,                0.66255,                0.75763,                0.52884,                 1.0165,                0.79971,                 1.0763,               0.001981,               0.001981,               0.001981
                     84,                  1.099,                0.95738,                 1.1638,                0.79721,                0.66169,                0.75786,                0.52956,                  1.016,                0.79887,                 1.0758,               0.001882,               0.001882,               0.001882
                     85,                 1.0955,                 0.9467,                 1.1628,                0.79492,                0.66285,                0.75778,                0.52921,                 1.0154,                0.79787,                 1.0751,               0.001783,               0.001783,               0.001783
                     86,                 1.0893,                0.94202,                 1.1577,                0.79914,                 0.6615,                0.75822,                0.52948,                 1.0145,                0.79742,                 1.0742,               0.001684,               0.001684,               0.001684
                     87,                 1.0821,                0.93289,                 1.1545,                0.79782,                0.66308,                0.75878,                0.52986,                 1.0128,                0.79598,                 1.0732,               0.001585,               0.001585,               0.001585
                     88,                  1.089,                0.94034,                 1.1577,                0.79733,                0.66531,                0.75994,                0.52994,                  1.012,                 0.7953,                 1.0727,               0.001486,               0.001486,               0.001486
                     89,                 1.0732,                0.92251,                 1.1515,                 0.7955,                 0.6663,                0.76084,                0.52997,                 1.0113,                 0.7948,                 1.0722,               0.001387,               0.001387,               0.001387
                     90,                  1.076,                0.92627,                  1.151,                0.79706,                0.66619,                0.76144,                0.53066,                 1.0105,                 0.7935,                 1.0711,               0.001288,               0.001288,               0.001288
                     91,                 1.0469,                0.86926,                 1.1244,                 0.7928,                0.66716,                0.76038,                0.53127,                 1.0092,                 0.7937,                 1.0703,               0.001189,               0.001189,               0.001189
                     92,                 1.0444,                0.86208,                 1.1196,                0.79316,                 0.6641,                0.75935,                 0.5318,                 1.0075,                0.79486,                 1.0689,                0.00109,                0.00109,                0.00109
                     93,                 1.0369,                0.84926,                 1.1158,                0.79436,                0.66243,                0.75848,                0.53158,                 1.0067,                0.79542,                  1.068,               0.000991,               0.000991,               0.000991
                     94,                 1.0285,                0.83702,                 1.1154,                0.78972,                0.66568,                0.75738,                0.53055,                 1.0055,                0.79555,                 1.0675,               0.000892,               0.000892,               0.000892
                     95,                 1.0179,                0.83135,                 1.1086,                0.78953,                0.66503,                0.75637,                0.53018,                 1.0058,                0.79498,                 1.0675,               0.000793,               0.000793,               0.000793
                     96,                 1.0089,                0.82091,                 1.1018,                0.78979,                0.66234,                0.75541,                0.52986,                 1.0056,                0.79574,                 1.0671,               0.000694,               0.000694,               0.000694
                     97,                 1.0094,                0.81149,                 1.0983,                0.78937,                0.66142,                0.75451,                0.52967,                 1.0048,                  0.796,                 1.0664,               0.000595,               0.000595,               0.000595
                     98,                 1.0031,                0.80167,                 1.0969,                0.78477,                0.66317,                0.75407,                 0.5298,                 1.0041,                0.79617,                 1.0655,               0.000496,               0.000496,               0.000496
                     99,                 0.9905,                0.79106,                 1.0895,                0.78697,                0.65917,                0.75316,                0.52943,                 1.0033,                 0.7968,                 1.0651,               0.000397,               0.000397,               0.000397
                    100,                0.98956,                0.78876,                 1.0867,                 0.7878,                0.65933,                0.75303,                0.52944,                 1.0029,                0.79674,                 1.0646,               0.000298,               0.000298,               0.000298
